date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0
2020-04-04,1,1,0,0,0,0,1,1
2020-04-11,3,2,0,0,0,0,3,2
2020-04-18,7,4,1,1,0,0,6,3
2020-04-25,20,13,1,0,0,0,19,13
2020-05-02,31,11,1,0,0,0,30,11
2020-05-09,61,30,3,2,0,0,58,28
2020-05-16,78,17,4,1,0,0,74,16
2020-05-23,90,12,13,9,0,0,77,3
2020-05-30,96,6,15,2,0,0,81,4
2020-06-06,102,6,27,12,0,0,75,-6
2020-06-13,107,5,37,10,0,0,70,-5
2020-06-20,111,4,46,9,0,0,65,-5
2020-06-27,116,5,69,23,0,0,47,-18
2020-07-04,116,0,77,8,0,0,39,-8
2020-07-11,121,5,84,7,1,1,36,-3
2020-07-18,131,10,101,17,2,1,28,-8
2020-07-25,138,7,112,11,2,0,24,-4
2020-08-01,167,29,115,3,4,2,48,24
2020-08-08,209,42,117,2,4,0,88,40
2020-08-15,224,15,121,4,4,0,99,11
2020-08-22,273,49,131,10,5,1,137,38
2020-08-29,301,28,149,18,5,0,147,10
2020-09-04,303,2,170,21,5,0,128,-19
