date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0,0,0
2020-03-29,1,1,0,0,0,0,1,1
2020-03-30,2,1,0,0,0,0,2,1
2020-03-31,2,0,0,0,0,0,2,0
2020-04-01,2,0,0,0,1,1,1,-1
2020-04-02,6,4,0,0,1,0,5,4
2020-04-03,9,3,0,0,1,0,8,3
2020-04-04,9,0,1,1,1,0,7,-1
2020-04-05,10,1,1,0,2,1,7,0
2020-04-06,11,1,1,0,2,0,8,1
2020-04-07,11,0,1,0,2,0,8,0
2020-04-08,11,0,1,0,2,0,8,0
2020-04-09,12,1,1,0,3,1,8,0
2020-04-10,12,0,2,1,3,0,7,-1
2020-04-11,15,3,3,1,3,0,9,2
2020-04-12,15,0,3,0,3,0,9,0
2020-04-13,19,4,3,0,3,0,13,4
2020-04-14,19,0,3,0,3,0,13,0
2020-04-15,19,0,7,4,5,2,7,-6
2020-04-16,24,5,10,3,5,0,9,2
2020-04-17,25,1,10,0,5,0,10,1
2020-04-18,29,4,10,0,5,0,14,4
2020-04-19,29,0,10,0,5,0,14,0
2020-04-20,33,4,10,0,6,1,17,3
2020-04-21,34,1,10,0,6,0,18,1
2020-04-22,34,0,10,0,6,0,18,0
2020-04-23,35,1,13,3,6,0,16,-2
2020-04-24,35,0,14,1,6,0,15,-1
2020-04-25,37,2,15,1,6,0,16,1
2020-04-26,38,1,15,0,6,0,17,1
2020-04-27,38,0,16,1,6,0,16,-1
2020-04-28,39,1,16,0,6,0,17,1
2020-04-29,40,1,17,1,6,0,17,0
2020-04-30,40,0,24,7,6,0,10,-7
2020-05-01,41,1,24,0,6,0,11,1
2020-05-02,44,3,26,2,6,0,12,1
2020-05-03,52,8,26,0,6,0,20,8
2020-05-04,57,5,26,0,6,0,25,5
2020-05-05,60,3,27,1,6,0,27,2
2020-05-06,60,0,27,0,6,0,27,0
2020-05-07,65,5,27,0,6,0,32,5
2020-05-08,68,3,38,11,6,0,24,-8
2020-05-09,70,2,39,1,6,0,25,1
2020-05-10,72,2,46,7,6,0,20,-5
2020-05-11,73,1,49,3,6,0,18,-2
2020-05-12,80,7,49,0,6,0,25,7
2020-05-13,87,7,49,0,6,0,32,7
2020-05-14,93,6,49,0,6,0,38,6
2020-05-15,94,1,54,5,6,0,34,-4
2020-05-16,94,0,60,6,6,0,28,-6
2020-05-17,98,4,60,0,6,0,32,4
2020-05-18,100,2,62,2,6,0,32,0
2020-05-19,105,5,62,0,6,0,37,5
2020-05-20,106,1,63,1,6,0,37,0
2020-05-21,107,1,66,3,6,0,35,-2
2020-05-22,108,1,66,0,6,0,36,1
2020-05-23,109,1,66,0,6,0,37,1
2020-05-24,110,1,67,1,6,0,37,0
