date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-02,2,2,0,0,0,0,2,2
2020-03-03,2,0,0,0,0,0,2,0
2020-03-04,2,0,0,0,0,0,2,0
2020-03-05,2,0,0,0,0,0,2,0
2020-03-06,4,2,0,0,0,0,4,2
2020-03-07,4,0,0,0,0,0,4,0
2020-03-08,6,2,0,0,0,0,6,2
2020-03-09,19,13,0,0,0,0,19,13
2020-03-10,27,8,2,2,0,0,25,6
2020-03-11,34,7,2,0,1,1,31,6
2020-03-12,34,0,2,0,1,0,31,0
2020-03-13,69,35,2,0,4,3,63,32
2020-03-14,96,27,8,6,5,1,83,20
2020-03-15,117,21,8,0,5,0,104,21
2020-03-16,134,17,8,0,5,0,121,17
2020-03-17,172,38,9,1,5,0,158,37
2020-03-18,227,55,11,2,19,14,197,39
2020-03-19,309,82,15,4,25,6,269,72
2020-03-20,369,60,17,2,32,7,320,51
2020-03-21,450,81,20,3,38,6,392,72
2020-03-22,514,64,29,9,48,10,437,45
2020-03-23,579,65,30,1,49,1,500,63
2020-03-24,685,106,30,0,55,6,600,100
2020-03-25,790,105,31,1,58,3,701,101
2020-03-26,893,103,35,4,78,20,780,79
2020-03-27,1046,153,46,11,87,9,913,133
2020-03-28,1155,109,59,13,102,15,994,81
2020-03-29,1285,130,64,5,114,12,1107,113
2020-03-30,1414,129,75,11,122,8,1217,110
2020-03-31,1528,114,81,6,136,14,1311,94
2020-04-01,1677,149,103,22,157,21,1417,106
2020-04-02,1790,113,112,9,170,13,1508,91
2020-04-03,1986,196,134,22,181,11,1671,163
2020-04-04,2092,106,150,16,191,10,1751,80
2020-04-05,2273,181,164,14,198,7,1911,160
2020-04-06,2491,218,192,28,209,11,2090,179
2020-04-07,2738,247,204,12,221,12,2313,223
2020-04-08,2956,218,222,18,240,19,2494,181
2020-04-09,3293,337,252,30,280,40,2761,267
2020-04-10,3512,219,282,30,306,26,2924,163
2020-04-11,3842,330,286,4,327,21,3229,305
2020-04-12,4241,399,359,73,373,46,3509,280
2020-04-13,4557,316,380,21,399,26,3778,269
2020-04-14,4839,282,426,46,459,60,3954,176
2020-04-15,5136,297,446,20,469,10,4221,267
2020-04-16,5516,380,548,102,496,27,4472,251
2020-04-17,5923,407,607,59,520,24,4796,324
2020-04-18,6248,325,631,24,535,15,5082,286
2020-04-19,6575,327,686,55,582,47,5307,225
2020-04-20,6760,185,747,61,590,8,5423,116
2020-04-21,7135,375,842,95,616,26,5677,254
2020-04-22,7418,283,913,71,635,19,5870,193
2020-04-23,7775,357,960,47,647,12,6168,298
2020-04-24,8211,436,1002,42,689,42,6520,352
2020-04-25,8607,396,1042,40,720,31,6845,325
2020-04-26,8882,275,1107,65,743,23,7032,187
2020-04-27,9096,214,1151,44,765,22,7180,148
2020-04-28,9511,415,1254,103,773,8,7484,304
2020-04-29,9771,260,1391,137,784,11,7596,112
2020-04-30,10118,347,1522,131,792,8,7804,208
2020-05-01,10551,433,1591,69,800,8,8160,356
2020-05-02,10843,292,1665,74,831,31,8347,187
2020-05-03,11192,349,1876,211,845,14,8471,124
2020-05-04,11587,395,1954,78,864,19,8769,298
2020-05-05,12071,484,2197,243,872,8,9002,233
2020-05-06,12438,367,2317,120,895,23,9226,224
2020-05-07,12776,338,2381,64,930,35,9465,239
2020-05-08,13112,336,2494,113,943,13,9675,210
2020-05-09,13645,533,2607,113,959,16,10079,404
2020-05-10,14032,387,2698,91,973,14,10361,282
2020-05-11,14265,233,2881,183,991,18,10393,32
2020-05-12,14749,484,3063,182,1007,16,10679,286
2020-05-13,15438,689,3287,224,1028,21,11123,444
2020-05-14,16006,568,3518,231,1043,15,11445,322
2020-05-15,16496,490,3803,285,1076,33,11617,172
2020-05-16,17025,529,3911,108,1089,13,12025,408
2020-05-17,17514,489,4129,218,1148,59,12237,212
2020-05-18,18010,496,4324,195,1191,43,12495,258
2020-05-19,18496,486,4467,143,1221,30,12808,313
2020-05-20,19189,693,4575,108,1242,21,13372,564
2020-05-21,20162,973,4838,263,1278,36,14046,674
2020-05-22,20796,634,5057,219,1326,48,14413,367
2020-05-23,21745,949,5249,192,1351,25,15145,732
2020-05-24,22271,526,5402,153,1372,21,15497,352
2020-05-25,22750,479,5642,240,1391,19,15717,220
2020-05-26,23165,415,5877,235,1418,27,15870,153
2020-05-27,23851,686,6057,180,1473,55,16321,451
2020-05-28,24538,687,6240,183,1496,23,16802,481
2020-05-29,25216,678,6492,252,1520,24,17204,402
2020-05-30,25773,557,7015,523,1573,53,17185,-19
2020-05-31,26473,700,7308,293,1613,40,17552,367
2020-06-01,26940,467,7637,329,1641,28,17662,110
2020-06-02,27549,609,7935,298,1663,22,17951,289
2020-06-03,28233,684,8406,471,1698,35,18129,178
2020-06-04,28818,585,8892,486,1721,23,18205,76
2020-06-05,29521,703,9443,551,1770,49,18308,103
2020-06-06,30514,993,9907,464,1801,31,18806,498
2020-06-07,31186,672,10498,591,1851,50,18837,31
2020-06-08,32033,847,10904,406,1883,32,19246,409
2020-06-09,33075,1042,11414,510,1923,40,19738,492
2020-06-10,34316,1241,12129,715,1959,36,20228,490
2020-06-11,35295,979,12636,507,2000,41,20659,431
2020-06-12,36406,1111,13213,577,2048,48,21145,486
2020-06-13,37420,1014,13776,563,2091,43,21553,408
2020-06-14,38277,857,14531,755,2134,43,21612,59
2020-06-15,39294,1017,15123,592,2198,64,21973,361
2020-06-16,40400,1106,15703,580,2231,33,22466,493
2020-06-17,41431,1031,16243,540,2276,45,22912,446
2020-06-18,42762,1331,16798,555,2339,63,23625,713
2020-06-19,43803,1041,17349,551,2373,34,24081,456
2020-06-20,45029,1226,17883,534,2429,56,24717,636
2020-06-21,45891,862,18404,521,2465,36,25022,305
2020-06-22,46845,954,18735,331,2500,35,25610,588
2020-06-23,47896,1051,19241,506,2535,35,26120,510
2020-06-24,49009,1113,19658,417,2573,38,26778,658
2020-06-25,50187,1178,20449,791,2620,47,27118,340
2020-06-26,51427,1240,21333,884,2683,63,27411,293
2020-06-27,52812,1385,21909,576,2720,37,28183,772
2020-06-28,54010,1198,22936,1027,2754,34,28320,137
2020-06-29,55092,1082,23800,864,2805,51,28487,167
2020-06-30,56385,1293,24806,1006,2876,71,28703,216
2020-07-01,57770,1385,25595,789,2934,58,29241,538
2020-07-02,59394,1624,26667,1072,2987,53,29740,499
2020-07-03,60695,1301,27568,901,3036,49,30091,351
2020-07-04,62142,1447,28219,651,3089,53,30834,743
2020-07-05,63749,1607,29105,886,3171,82,31473,639
2020-07-06,64958,1209,29919,814,3241,70,31798,325
2020-07-07,66226,1268,30785,866,3309,68,32132,334
2020-07-08,68079,1853,31585,800,3359,50,33135,1003
2020-07-09,70736,2657,32651,1066,3417,58,34668,1533
2020-07-10,72347,1611,33529,878,3469,52,35349,681
2020-07-11,74018,1671,34719,1190,3535,66,35764,415
2020-07-12,75699,1681,35638,919,3606,71,36455,691
2020-07-13,76981,1282,36689,1051,3656,50,36636,181
2020-07-14,78572,1591,37636,947,3710,54,37226,590
2020-07-15,80094,1522,39050,1414,3797,87,37247,21
2020-07-16,81668,1574,40345,1295,3873,76,37450,203
2020-07-17,83130,1462,41834,1489,3957,84,37339,-111
2020-07-18,84882,1752,43268,1434,4016,59,37598,259
2020-07-19,86521,1639,45401,2133,4143,127,36977,-621
2020-07-20,88214,1693,46977,1576,4239,96,36998,21
2020-07-21,89869,1655,48466,1489,4320,81,37083,85
2020-07-22,91751,1882,50255,1789,4459,139,37037,-46
2020-07-23,93657,1906,52164,1909,4576,117,36917,-120
2020-07-24,95418,1761,53945,1781,4665,89,36808,-109
2020-07-25,97286,1868,55354,1409,4714,49,37218,410
2020-07-26,98778,1492,56655,1301,4781,67,37342,124
2020-07-27,100303,1525,58173,1518,4838,57,37292,-50
2020-07-28,102051,1748,60539,2366,4901,63,36611,-681
2020-07-29,104432,2381,62138,1599,4975,74,37319,708
2020-07-30,106336,1904,64292,2154,5058,83,36986,-333
2020-07-31,108376,2040,65907,1615,5131,73,37338,352
2020-08-01,109936,1560,67919,2012,5193,62,36824,-514
2020-08-02,111455,1519,68975,1056,5236,43,37244,420
2020-08-03,113134,1679,70237,1262,5302,66,37595,351
2020-08-04,115056,1922,72050,1813,5388,86,37618,23
2020-08-05,116871,1815,73889,1839,5452,64,37530,-88
2020-08-06,118753,1882,75645,1756,5521,69,37587,57
2020-08-07,121226,2473,77557,1912,5593,72,38076,489
2020-08-08,123503,2277,79306,1749,5658,65,38539,463
2020-08-09,125396,1893,80952,1646,5723,65,38721,182
2020-08-10,127083,1687,82236,1284,5765,42,39082,361
2020-08-11,128776,1693,83710,1474,5824,59,39242,160
2020-08-12,130718,1942,85798,2088,5903,79,39017,-225
2020-08-13,132816,2098,87558,1760,5968,65,39290,273
2020-08-14,135123,2307,89618,2060,6021,53,39484,194
2020-08-15,137468,2345,91321,1703,6071,50,40076,592
2020-08-16,139549,2081,93103,1782,6150,79,40296,220
2020-08-17,141370,1821,94458,1355,6207,57,40705,409
2020-08-18,143043,1673,96306,1848,6277,70,40460,-245
2020-08-19,144945,1902,98657,2351,6346,69,39942,-518
2020-08-20,147211,2266,100674,2017,6418,72,40119,177
2020-08-21,149408,2197,102991,2317,6500,82,39917,-202
2020-08-22,151498,2090,105198,2207,6594,94,39706,-211
2020-08-23,153535,2037,107500,2302,6680,86,39355,-351
2020-08-24,155412,1877,111060,3560,6759,79,37593,-1762
2020-08-25,157859,2447,112867,1807,6858,99,38134,541
2020-08-26,160165,2306,115409,2542,6944,86,37812,-322
2020-08-27,162884,2719,118575,3166,7064,120,37245,-567
2020-08-28,165887,3003,120900,2325,7169,105,37818,573
2020-08-29,169195,3308,122802,1902,7261,92,39132,1314
2020-08-30,172053,2858,124185,1383,7343,82,40525,1393
2020-08-31,174796,2743,125959,1774,7417,74,41420,895
2020-09-01,177571,2775,128057,2098,7505,88,42009,589
2020-09-02,180646,3075,129971,1914,7616,111,43059,1050
2020-09-03,184268,3622,132055,2084,7750,134,44463,1404
2020-09-04,187537,3269,134181,2126,7832,82,45524,1061
2020-09-05,190665,3128,136401,2220,7940,108,46324,800
2020-09-06,194109,3444,138575,2174,8025,85,47509,1185
2020-09-07,196989,2880,140652,2077,8130,105,48207,698
2020-09-08,200035,3046,142958,2306,8230,100,48847,640
2020-09-09,203342,3307,145200,2242,8336,106,49806,959
