date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0
2020-03-29,0,0,0,0,0,0,0,0
2020-04-11,1,1,0,0,0,0,1,1
2020-04-18,4,3,0,0,0,0,4,3
2020-04-25,14,10,0,0,1,1,13,9
2020-05-02,15,1,2,2,1,0,12,-1
2020-05-09,19,4,10,8,1,0,8,-4
2020-05-16,23,4,14,4,2,1,7,-1
2020-05-23,49,26,18,4,2,0,29,22
2020-05-30,69,20,23,5,5,3,41,12
2020-06-06,126,57,55,32,6,1,65,24
2020-06-13,185,59,83,28,8,2,94,29
2020-06-20,220,35,139,56,8,0,73,-21
2020-06-27,243,23,201,62,8,0,34,-39
2020-07-04,269,26,227,26,11,3,31,-3
2020-07-11,345,76,230,3,17,6,98,67
2020-07-18,426,81,304,74,26,9,96,-2
2020-07-20,537,111,311,7,27,1,199,103
